tag,weight,count,ret,vola,mdv,category
apologis,-0.00778658333333333,954,-0.373756,.,.,
three-month,-0.00250710522491279,6763,-0.00250030801687763,1.04680716926667,3447396546.73437,
co-found,-0.00295226129272393,4321,-0.00279118028169015,1.20006978710957,692289580.31949,
shuffl,-0.00171143202305204,10300,-0.00179957170172084,1.23702100594237,635509689.089126,
monaco,-0.00305669044261956,2115,-0.00372707902735562,1.19452323086179,760514073.716159,
sometim,-0.00424971686746988,2144,-0.302915945783133,.,.,
scrap,-0.00148925878889733,23433,-0.00157741751824818,1.19125076596211,1316972799.00424,
rental,-0.0222766625213119,73,-0.0326455,1.21392210730298,952127284.4,
brunswick,-0.00162403177941947,10538,-0.00163245672664953,1.06821902772163,96714806.6880756,
downsid,-0.00429809670113611,4090,-0.00442114705882353,1.21396131291961,2946454009.72074,
inclin,-0.00928922857142857,1269,-0.325123,.,.,
avers,-0.00462563322158137,8365,-0.00404047586206896,1.17391409647555,608644105.089686,
solvenc,-0.00531052215356474,3087,-0.00623208108108108,1.37533157768231,999031300.841636,
checker,-0.0552631136745637,15,-0.034433,0.623073831901164,29538333.42,
rogal,-0.00276039042273661,1726,-0.00259368867924528,0.932796622687146,306194958.450597,
listless,-0.00594996428862706,1661,-0.00538340229885057,0.55118716182103,2937060465.05501,
adequ,-0.002649515625,7912,-0.575728267857143,.,.,
perman,-0.00202551675257732,10344,-0.847967585051546,.,.,
flop,-0.00442735161106261,2972,-0.00488254375,1.15771122199913,1904748150.56541,
comanch,-0.00553399906371334,1938,-0.0037112380952381,1.4312729554948,225047543.727902,
abreast,-0.00116641212102771,28179,-0.00129050766609881,0.595603918140029,173971977.970497,
crazi,-0.0081344081632653,504,-0.398586,.,.,
hinder,-0.00481357708101641,2572,-0.00495887586206896,1.226396254376,220890415.876848,
belt,-0.00365776923076923,2141,-0.502158647773279,.,.,
mislead,-0.00317454294478527,3857,-0.575031174846626,.,.,
natexi,-0.00951899388623242,1166,-0.00673905555555556,1.0471998348129,50389133.0276667,
contempt,-0.00994290909090909,264,-0.328116,.,.,
reason,-0.00138439501160093,31581,-1.58051808642691,.,.,
shakeout,-0.00526957335433754,2116,-0.0057935254237288,1.19073122108147,11493349886.5539,
cabin,-0.0043808543862735,4544,-0.00503516666666666,1.18903306442243,3325657587.41197,
sweden,-0.0036806879440003,6794,-0.00322026984126984,1.06463246062111,662833536.043113,
damp,-0.00527314285714285,1333,-0.627504,.,.,
substanc,-0.00525461983471074,1604,-0.326614669421488,.,.,
